# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# NOTE: administrative_source for every row is unverified general geographic knowledge. Postcodes deliberately left PENDING_VERIFICATION rather than stated from memory. Presence of a locality implies GEOGRAPHIC RESEARCH ONLY — never service availability, partner coverage, project evidence or property inventory.
locality,alternative_names,common_misspellings,tamil_name,tanglish_forms,parent_zone,corporation_municipality_panchayat,district,planning_authority,postcode_range,major_corridor,nearby_areas,administrative_source,source_verification_date,buildogram_service_availability,toletboard_inventory,realprop_inventory,existing_buildogram_page,existing_toletboard_page,existing_realprop_page,existing_property_count,partner_coverage,project_evidence,search_demand_status,local_page_evidence_status,owner_confirmation_status,provisional_content_format,final_indexability_status
Valasaravakkam,,,வளசரவாக்கம்,Valasaravakkam,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Virugambakkam, Porur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Porur,,,போரூர்,Porur,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Valasaravakkam, Ramapuram","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/porur,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Ramapuram,,,இராமாபுரம்,Ramapuram,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Porur, Manapakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Manapakkam,,,மணப்பாக்கம்,Manapakkam,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Ramapuram, Porur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Alwarthirunagar,,,ஆழ்வார்திருநகர்,Alwarthirunagar,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Valasaravakkam, Virugambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Iyyappanthangal,,,ஐயப்பன்தாங்கல்,Iyyappanthangal,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Porur, Kundrathur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Mugalivakkam,,,முகலிவாக்கம்,Mugalivakkam,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Manapakkam, Porur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Karambakkam,,,,Karambakkam,Zone 11 (Valasaravakkam),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,Porur corridor,"Porur, Valasaravakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Alandur,,,ஆலந்தூர்,Alandur,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Guindy, St Thomas Mount","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Guindy,,,கிண்டி,Guindy,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Alandur, Saidapet","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
St Thomas Mount,,,பரங்கிமலை,St Thomas Mount,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Alandur, Adambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Adambakkam,,,ஆதம்பாக்கம்,Adambakkam,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Nanganallur, Alandur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Nanganallur,,,நங்கநல்லூர்,Nanganallur,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Adambakkam, Palavanthangal","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Saidapet,,,சைதாப்பேட்டை,Saidapet,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Guindy, Nandanam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Ekkatuthangal,,,எக்காட்டுத்தாங்கல்,Ekkatuthangal,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Guindy, Ashok Nagar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Palavanthangal,,,பழவந்தாங்கல்,Palavanthangal,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Nanganallur, Pallavaram","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Meenambakkam,,,மீனம்பாக்கம்,Meenambakkam,Zone 12 (Alandur),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,GST Road corridor,"Pallavaram, Alandur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Adyar,,,அடையாறு,Adyar,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Besant Nagar, Thiruvanmiyur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/adyar,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Besant Nagar,,,பெசன்ட் நகர்,Besant Nagar,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Adyar, Thiruvanmiyur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Thiruvanmiyur,,,திருவான்மியூர்,Thiruvanmiyur,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Besant Nagar, Kottivakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kotturpuram,,,கோட்டூர்புரம்,Kotturpuram,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Adyar, Nandanam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Velachery,,,வேளச்சேரி,Velachery,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Adyar, Guindy, Madipakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/velachery,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Madipakkam,,,மடிப்பாக்கம்,Madipakkam,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Velachery, Nanganallur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Ullagaram,,,உள்ளகரம்,Ullagaram,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Madipakkam, Puzhuthivakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Puzhuthivakkam,,,புழுதிவாக்கம்,Puzhuthivakkam,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Madipakkam, Velachery","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Thiruvalluvar Nagar,,,,Thiruvalluvar Nagar,Zone 13 (Adyar),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,South Chennai,"Thiruvanmiyur, Adyar","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Perungudi,,,பெருங்குடி,Perungudi,Zone 14 (Perungudi),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,OMR / ECR corridor,"Thoraipakkam, Velachery","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/perungudi,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Thoraipakkam,,,தொரைப்பாக்கம்,Thoraipakkam,Zone 14 (Perungudi),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,OMR / ECR corridor,"Perungudi, Sholinganallur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,/locations/chennai/thoraipakkam,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Kottivakkam,,,கோட்டிவாக்கம்,Kottivakkam,Zone 14 (Perungudi),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,OMR / ECR corridor,"Thiruvanmiyur, Palavakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Palavakkam,,,பாலவாக்கம்,Palavakkam,Zone 14 (Perungudi),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,OMR / ECR corridor,"Kottivakkam, Neelankarai","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Neelankarai,,,நீலாங்கரை,Neelankarai,Zone 14 (Perungudi),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,OMR / ECR corridor,"Palavakkam, Injambakkam","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
Injambakkam,,,இஞ்சம்பாக்கம்,Injambakkam,Zone 14 (Perungudi),Greater Chennai Corporation,Chennai,CMDA,PENDING_VERIFICATION,OMR / ECR corridor,"Neelankarai, Sholinganallur","GENERAL_GEOGRAPHIC_KNOWLEDGE — REQUIRES_SOURCE_VERIFICATION (GCC zone/division list, CMDA master plan area, TN municipal administration records, India Post PIN directory)",NOT_YET_VERIFIED,OWNER_CONFIRMATION_REQUIRED,PENDING_PORTAL_AUDIT,PENDING_PORTAL_AUDIT,none,none,none,PENDING_PORTAL_AUDIT,OWNER_CONFIRMATION_REQUIRED,OWNER_CONFIRMATION_REQUIRED,PENDING_GSC,NOT_YET_ASSESSED,OWNER_CONFIRMATION_REQUIRED,PROVISIONAL — locality hub vs section vs no page: decide after evidence + GSC,PROVISIONAL — P0 AND DATA GATES PENDING
