# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# All 161 localities enumerated with the 10 modifier forms to test. EVERY classification is INSUFFICIENT EVIDENCE — no search-behaviour data could be obtained here. Populate after GSC connection + autocomplete capture.
locality,parent_zone_or_body,corridor,construction_search_identity,property_rent_search_identity,property_sale_search_identity,material_search_identity,professional_service_search_identity,modifier_forms_to_test,evidence_source,classification_basis,status
Tiruvottiyur,Zone 1 (Tiruvottiyur),North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Tambaram,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Chromepet,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Pallavaram,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Anakaputhur,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Selaiyur,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Medavakkam Koot Road,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Perungalathur,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Vandalur,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Urapakkam,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Guduvancheri,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Maraimalai Nagar,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Singaperumal Koil,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Chengalpattu,Outside GCC / merged body — VERIFY,GST Road,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kundrathur,Outside GCC / merged body — VERIFY,Porur corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Poonamallee,Outside GCC / merged body — VERIFY,Poonamallee corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Maduravoyal,Outside GCC / merged body — VERIFY,Poonamallee corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nazarethpettai,Outside GCC / merged body — VERIFY,Poonamallee corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thiruverkadu,Outside GCC / merged body — VERIFY,Poonamallee corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Navalur,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Siruseri,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kelambakkam,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thiruporur,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Padur,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thalambur,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Egattur,Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
ECR (East Coast Road corridor),Outside GCC / merged body — VERIFY,ECR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
OMR (Old Mahabalipuram Road corridor),Outside GCC / merged body — VERIFY,OMR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kovalam,Outside GCC / merged body — VERIFY,ECR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Muttukadu,Outside GCC / merged body — VERIFY,ECR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mahabalipuram,Outside GCC / merged body — VERIFY,ECR,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Sriperumbudur,Outside GCC / merged body — VERIFY,NH-48 industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Oragadam,Outside GCC / merged body — VERIFY,NH-48 industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kancheepuram,Outside GCC / merged body — VERIFY,NH-48,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Tiruvallur,Outside GCC / merged body — VERIFY,North-west,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Thiruninravur,Outside GCC / merged body — VERIFY,North-west,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Minjur,Outside GCC / merged body — VERIFY,North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ponneri,Outside GCC / merged body — VERIFY,North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Gummidipoondi,Outside GCC / merged body — VERIFY,North Chennai industrial,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Sholavaram,Outside GCC / merged body — VERIFY,North Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kattupakkam,Outside GCC / merged body — VERIFY,Poonamallee corridor,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mogappair East,Zone 7,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Mogappair West,Zone 7,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Nolambur,Zone 7,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kolathur Extension,Zone 6,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Ayanavaram,Zone 6,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Choolaimedu,Zone 8,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Alapakkam,Zone 11,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Gerugambakkam,Zone 11,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Moulivakkam,Zone 11,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Keelkattalai,Zone 13,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Kovilambakkam,Zone 13,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Jalladianpet,Zone 14,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
Sithalapakkam,Outside GCC — VERIFY,South/West Chennai,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,INSUFFICIENT EVIDENCE,locality alone | locality+Chennai | parent municipality | corridor term | nearby major locality | postcode | alt spelling | Tamil name | Tanglish name | near-me,"NONE — no autocomplete, GSC, PAA or SERP data available in this environment","Search identity MUST NOT be inferred from population, geographic importance or corridor prominence — owner instruction §5",OPEN — requires observed data
