# RESEARCH-ONLY — NO PUBLICATION OR IMPLEMENTATION AUTHORISED
# Every one of the 183 rows individually classified. 'Evidence in operating workflow' is NOT_OBSERVED for all rows — no operational data was available. Modifiers, customer problems and project stages were NOT counted as services.
service,segment,row_classification,evidence_in_repository,evidence_in_operating_workflow,owner_confirmation,relevant_domain,commercial_eligibility,informational_eligibility,schema_eligibility,page_eligibility,consolidation_parent,action
AI soil test requirement builder,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-soil-test-requirement-builder,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI pile foundation BOQ checker,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-pile-foundation-boq-checker,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
AI property passport assistant,Tools & calculators,Direct Buildogram service (software tool),YES — /ai-property-passport-assistant,NOT_OBSERVED — no operating workflow evidence available in this environment,NO (tool exists) / YES for outputs accuracy,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Tools & calculators,RETAIN — pending owner confirmation
Property ecosystem hub,Property lifecycle (Buildogram),Informational subject,YES — /PROPOSED — property-ecosystem hub,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,Existing page — improve/consolidate,Property lifecycle (Buildogram),RETAIN — pending owner confirmation
Pre-purchase inspection,Property lifecycle (Buildogram),Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Property lifecycle (Buildogram),REMOVE FROM COMMERCIAL PLANNING
Pre-lease condition assessment,Property lifecycle (Buildogram),Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Property lifecycle (Buildogram),REMOVE FROM COMMERCIAL PLANNING
Renovation estimation for buyers,Property lifecycle (Buildogram),Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Property lifecycle (Buildogram),REMOVE FROM COMMERCIAL PLANNING
Rent-ready renovation for landlords,Property lifecycle (Buildogram),Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Property lifecycle (Buildogram),REMOVE FROM COMMERCIAL PLANNING
Construction on purchased plot,Property lifecycle (Buildogram),Planned service — not confirmed operating,NO — no renderer/page,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,NO — until model confirmed,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,PENDING — evidence + SERP required,Property lifecycle (Buildogram),REMOVE FROM COMMERCIAL PLANNING
Property Passport documentation,Property lifecycle (Buildogram),"Buildogram-managed service (asserted, unconfirmed)",YES — /property-passport,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,CONDITIONAL — owner confirmation,YES,Service schema only if delivered or explicitly coordinated; never Product/Offer,Existing page — improve/consolidate,Property lifecycle (Buildogram),RETAIN — pending owner confirmation
360° tour ecosystem overview,Property lifecycle (Buildogram),Informational subject,YES — /PROPOSED — tour ecosystem overview,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,Existing page — improve/consolidate,Property lifecycle (Buildogram),RETAIN — pending owner confirmation
360° tour quality standard,Property lifecycle (Buildogram),Informational subject,YES — /PROPOSED — tour standard,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,Existing page — improve/consolidate,Property lifecycle (Buildogram),RETAIN — pending owner confirmation
Buyer/tenant education on virtual tours,Property lifecycle (Buildogram),Informational subject,YES — /PROPOSED — guide,NOT_OBSERVED — no operating workflow evidence available in this environment,YES — confirm which services genuinely offered,Buildogram,CONDITIONAL — owner confirmation,YES,Article/FAQ only,Existing page — improve/consolidate,Property lifecycle (Buildogram),RETAIN — pending owner confirmation
